run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260812_081027_a10d7727,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.8181818181818182,0.6067415730337079,0.6967741935483871,162,36,105,47,10,0,
20260812_081027_f07436fe,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.5152542372881356,0.5692883895131086,0.5409252669039146,152,143,115,47,10,0,
20260812_081027_3bc0ca6e,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.7601626016260162,0.7056603773584905,0.7318982387475538,187,59,78,56,1,7,
20260812_081027_6c4e11a2,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.6403162055335968,0.6067415730337079,0.6230769230769231,162,91,105,49,8,4,
20260812_081027_42015911,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.6329113924050633,0.18587360594795538,0.28735632183908044,50,29,219,10,47,0,
20260812_081027_fd9a3e13,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,False,0.31683168316831684,0.11895910780669144,0.17297297297297298,32,69,237,10,47,0,
20260812_081027_b19791a7,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.7425742574257426,0.5617977528089888,0.6396588486140725,150,52,117,47,10,1,
20260812_081027_0222f1ca,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.3865546218487395,0.17100371747211895,0.23711340206185563,46,73,223,18,39,11,
20260812_081027_1e82edba,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.4925373134328358,0.24535315985130113,0.32754342431761785,66,68,203,18,39,11,
20260812_081027_13a041ba,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.6785714285714286,0.42379182156133827,0.5217391304347826,114,54,155,29,28,2,
20260812_081027_a3bde879,2026-08-12-1009-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.5416666666666666,0.29213483146067415,0.3795620437956205,78,66,189,25,32,13,
