run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260812_081041_82c753f7,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.2864583333333333,0.5670103092783505,0.3806228373702422,110,274,84,40,17,57,
20260812_081041_f54aab06,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.0,0.0,0.0,0,164,194,0,57,47,
20260812_081041_02d9efe8,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.0,0.0,0.0,0,70,194,0,57,19,
20260812_081041_ffaaaf13,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,True,0.2229299363057325,0.36082474226804123,0.2755905511811024,70,244,124,30,27,57,
20260812_081041_80f1eb64,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.16666666666666666,0.10309278350515463,0.12738853503184713,20,100,174,10,47,0,
20260812_081041_760953bf,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.15267175572519084,0.10309278350515463,0.12307692307692307,20,111,174,10,47,26,
20260812_081041_f3cfa2cb,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,False,0.17857142857142858,0.10309278350515463,0.13071895424836602,20,92,174,10,47,11,
20260812_081041_7b687a57,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.18181818181818182,0.10309278350515463,0.13157894736842102,20,90,174,10,47,20,
20260812_081041_5ca3365e,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.4444444444444444,0.20618556701030927,0.28169014084507044,40,50,154,20,37,9,
20260812_081041_4ee15dc1,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.2857142857142857,0.10309278350515463,0.15151515151515152,20,50,174,10,47,9,
20260812_081041_190ee00a,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.19230769230769232,0.10309278350515463,0.1342281879194631,20,84,174,10,47,11,
20260812_081041_fe6d494c,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.0,0.0,0.0,0,100,194,0,57,19,
20260812_081041_e366df9c,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,False,0.17391304347826086,0.10309278350515463,0.12944983818770228,20,95,174,10,47,11,
20260812_081041_40a2fa3c,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,True,0.3418803418803419,0.41237113402061853,0.37383177570093457,80,154,114,30,27,27,
20260812_081041_98c76f12,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,False,0.25,0.10309278350515463,0.14598540145985403,20,60,174,10,47,0,
20260812_081041_b6cce366,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,True,0.0,0.0,0.0,0,80,194,0,57,19,
20260812_081041_e9116c06,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,False,0.21052631578947367,0.10309278350515463,0.13840830449826988,20,75,174,10,47,11,
20260812_081041_6b923ad6,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,True,0.2,0.10309278350515463,0.13605442176870747,20,80,174,10,47,9,
20260812_081041_3ea9dd0b,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,False,0.25,0.10309278350515463,0.14598540145985403,20,60,174,10,47,0,
20260812_081041_e675e778,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,True,0.0,0.0,0.0,0,101,194,0,57,19,
20260812_081041_40fdd935,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,False,0.1282051282051282,0.10309278350515463,0.11428571428571428,20,136,174,10,47,21,
20260812_081041_f6ef0690,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,True,0.0,0.0,0.0,0,90,194,0,57,19,
20260812_081041_bde2b669,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,False,0.10526315789473684,0.10309278350515463,0.10416666666666666,20,170,174,10,47,10,
20260812_081041_62bfd6b3,2026-08-12-1009-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,True,0.0,0.0,0.0,0,80,194,0,57,19,
20260812_081042_36606e08,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,class_list,False,0.0,0.0,0.0,0,50,194,0,57,10,
20260812_081042_7199ff37,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,class_list,True,0.0,0.0,0.0,0,50,194,0,57,10,
20260812_081042_455cf34a,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,compact,False,0.0,0.0,0.0,0,30,194,0,57,10,
20260812_081042_d515e43e,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,json_ld,False,0.0,0.0,0.0,0,60,194,0,57,10,
20260812_081042_e5dffc5a,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,turtle,False,0.0,0.0,0.0,0,40,194,0,57,10,
20260812_081042_7b8bd464,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,turtle,True,0.0,0.0,0.0,0,60,194,0,57,10,
20260812_081042_3c167998,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,class_list,False,0.0,0.0,0.0,0,52,194,0,57,21,
20260812_081042_4edce16f,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,class_list,True,0.35714285714285715,0.10309278350515463,0.16,20,36,174,10,47,8,
20260812_081042_52f1afc0,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,compact,False,0.0,0.0,0.0,0,36,194,0,57,13,
20260812_081042_8d5fc48b,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,compact,True,0.0,0.0,0.0,0,46,194,0,57,18,
20260812_081042_272ebe38,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,json_ld,False,0.0,0.0,0.0,0,60,194,0,57,10,
20260812_081042_50c005ae,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,json_ld,True,0.0,0.0,0.0,0,70,194,0,57,10,
20260812_081042_cdb5a49f,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,turtle,False,0.0,0.0,0.0,0,56,194,0,57,13,
20260812_081042_90ddf3d9,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,turtle,True,0.0,0.0,0.0,0,46,194,0,57,13,
20260812_081042_a8f75da6,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,class_list,False,0.4,0.10309278350515463,0.16393442622950818,20,30,174,10,47,0,
20260812_081042_e882621e,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,compact,False,0.0,0.0,0.0,0,30,194,0,57,10,
20260812_081042_694f5040,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,compact,True,0.0,0.0,0.0,0,30,194,0,57,10,
20260812_081042_951a7d8e,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,json_ld,False,0.2857142857142857,0.10309278350515463,0.15151515151515152,20,50,174,10,47,0,
20260812_081042_a825366d,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,json_ld,True,0.0,0.0,0.0,0,90,194,0,57,10,
20260812_081042_ba91721f,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,turtle,False,0.0,0.0,0.0,0,50,194,0,57,10,
20260812_081042_37796c9d,2026-08-12-1009-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,turtle,True,0.25,0.10309278350515463,0.14598540145985403,20,60,174,10,47,0,
20260812_081041_0594b167,2026-08-12-1009-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,chain_of_thought,class_list,False,0.3684210526315789,0.36082474226804123,0.3645833333333333,70,120,124,30,27,25,
20260812_081041_97c93f02,2026-08-12-1009-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,few_shot,class_list,False,0.36363636363636365,0.20618556701030927,0.26315789473684204,40,70,154,20,37,10,
20260812_081041_60e52b24,2026-08-12-1009-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,few_shot,class_list,True,0.5263157894736842,0.5154639175257731,0.5208333333333334,100,90,94,40,17,20,
20260812_081041_0f7861f9,2026-08-12-1009-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,few_shot,compact,False,0.21367521367521367,0.25773195876288657,0.23364485981308408,50,184,144,20,37,37,
20260812_081041_5578b5d1,2026-08-12-1009-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,few_shot,compact,True,0.5,0.10309278350515463,0.17094017094017094,20,20,174,10,47,0,
20260812_081041_1105e3eb,2026-08-12-1009-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,few_shot,json_ld,False,0.0,0.0,0.0,0,30,194,0,57,10,
20260812_081041_0332fc35,2026-08-12-1009-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,few_shot,json_ld,True,0.2,0.10309278350515463,0.13605442176870747,20,80,174,10,47,10,
