run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260810_204312_43901db9,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.5502008032128514,0.7248677248677249,0.6255707762557078,137,112,52,49,1,31,
20260810_204312_e41ee469,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.0,0.0,0.0,0,20,189,0,50,10,
20260810_204312_f27ef423,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.4349442379182156,0.6190476190476191,0.5109170305676857,117,152,72,49,1,41,
20260810_204312_d4e36582,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.0,0.0,0.0,0,0,189,0,50,0,
20260810_204312_f811a1b1,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.502283105022831,0.582010582010582,0.5392156862745098,110,109,79,40,10,30,
20260810_204312_e5765645,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,False,0.6206896551724138,0.09523809523809523,0.16513761467889906,18,11,171,9,41,1,
20260810_204312_d0873b7d,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.502283105022831,0.582010582010582,0.5392156862745098,110,109,79,40,10,30,
20260810_204312_f7caa50b,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.33472803347280333,0.42328042328042326,0.37383177570093457,80,159,109,30,20,50,
20260810_204312_c4d59fe4,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.3389830508474576,0.10582010582010581,0.16129032258064516,20,39,169,10,40,10,
20260810_204312_6dfd05aa,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.5092936802973977,0.7248677248677249,0.5982532751091703,137,132,52,49,1,41,
20260810_204312_61e4ac12,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.9591836734693877,0.24867724867724866,0.39495798319327735,47,2,142,19,31,1,
20260810_204312_165fc4c6,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,False,0.7033492822966507,0.7777777777777778,0.7386934673366835,147,62,42,49,1,21,
20260810_204312_b82059a2,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,True,0.9591836734693877,0.24867724867724866,0.39495798319327735,47,2,142,19,31,1,
20260810_204312_347cdca2,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,False,0.7966101694915254,0.24867724867724866,0.37903225806451607,47,12,142,19,31,1,
20260810_204312_97542fdc,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,True,0.4247104247104247,0.582010582010582,0.4910714285714286,110,149,79,40,10,40,
20260810_204312_6e331c26,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,False,0.29739776951672864,0.42328042328042326,0.3493449781659388,80,189,109,30,20,60,
20260810_204312_ee134304,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,True,0.2,0.010582010582010581,0.020100502512562814,2,8,187,1,49,0,
20260810_204312_977203e8,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,False,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260810_204312_6eab601f,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,True,0.0,0.0,0.0,0,0,189,0,50,0,
20260810_204312_8731b078,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,False,0.5982532751091703,0.7248677248677249,0.6555023923444976,137,92,52,49,1,31,
20260810_204312_067dcbea,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,True,0.40816326530612246,0.10582010582010581,0.1680672268907563,20,29,169,10,40,10,
20260810_204312_8d5c0e9a,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,False,0.40816326530612246,0.10582010582010581,0.1680672268907563,20,29,169,10,40,10,
20260810_204312_d76de647,2026-08-10-2242-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,True,0.6255707762557078,0.7248677248677249,0.6715686274509804,137,82,52,49,1,21,
20260810_204312_6253494d,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,class_list,False,0.0,0.0,0.0,0,19,189,0,50,10,
20260810_204312_e33de46c,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,compact,False,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260810_204312_4d3c5587,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,compact,True,0.0,0.0,0.0,0,10,189,0,50,10,
20260810_204312_7097ac56,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,json_ld,False,0.20224719101123595,0.09523809523809523,0.12949640287769784,18,71,171,9,41,1,
20260810_204312_5e7536e2,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,json_ld,True,0.3673469387755102,0.09523809523809523,0.15126050420168066,18,31,171,9,41,1,
20260810_204312_aef96e1f,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,turtle,False,0.0,0.0,0.0,0,99,189,0,50,10,
20260810_204312_2ff3e38f,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,turtle,True,0.18181818181818182,0.09523809523809523,0.125,18,81,171,9,41,1,
20260810_204312_02ff7833,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,class_list,False,0.0,0.0,0.0,0,20,189,0,50,10,
20260810_204312_15de4ff8,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,class_list,True,0.0,0.0,0.0,0,20,189,0,50,10,
20260810_204312_bc7fbe8d,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,compact,False,0.0,0.0,0.0,0,29,189,0,50,10,
20260810_204312_fb37e054,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,compact,True,0.0,0.0,0.0,0,29,189,0,50,10,
20260810_204312_80f1c3d8,2026-08-10-2242-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,json_ld,False,0.0,0.0,0.0,0,19,189,0,50,10,
