run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260815_063640_ee82347c,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.22727272727272727,0.11152416356877323,0.14962593516209477,30,102,239,10,47,37,
20260815_063640_521bda5a,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.4250871080139373,0.45692883895131087,0.4404332129963899,122,165,145,36,21,11,
20260815_063640_ec46a6a7,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.6329113924050633,0.7633587786259542,0.6920415224913494,200,116,62,57,0,15,
20260815_063640_283541fb,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.55,0.08178438661710037,0.1423948220064725,22,18,247,10,47,0,
20260815_063640_38b027e1,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.6666666666666666,0.14869888475836432,0.24316109422492402,40,20,229,10,47,0,
20260815_063640_21ee49b0,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,False,0.16783216783216784,0.08921933085501858,0.11650485436893204,24,119,245,10,47,37,
20260815_063640_a5042423,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.7,0.15613382899628253,0.2553191489361702,42,18,227,10,47,0,
20260815_063640_e9520f0d,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.5,0.3295880149812734,0.3972911963882619,88,88,179,26,31,16,
20260815_063640_a6031916,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.5650793650793651,0.6666666666666666,0.6116838487972508,178,137,89,47,10,0,
20260815_063640_ccd3e010,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.3780487804878049,0.23484848484848486,0.28971962616822433,62,102,202,26,31,33,
20260815_063640_ca058edb,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,False,0.8613861386138614,0.651685393258427,0.7420042643923241,174,28,93,49,8,0,
20260815_063640_9448dc70,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,True,0.46,0.5267175572519084,0.49110320284697506,138,162,124,44,13,33,
20260815_063640_b0e00ddd,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,False,0.6787878787878788,0.41947565543071164,0.5185185185185185,112,53,155,36,21,11,
20260815_063640_542f3799,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,True,0.564,0.5381679389312977,0.5507812499999999,141,109,121,44,13,18,
20260815_063639_f52c277c,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,False,0.4117647058823529,0.23684210526315788,0.3007159904534606,63,90,203,26,31,12,
20260815_063640_2a9918a5,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,False,0.75177304964539,0.8,0.7751371115173674,212,70,53,56,1,5,
20260815_063640_03266897,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,True,0.6224489795918368,0.45692883895131087,0.5269978401727863,122,74,145,36,21,11,
20260815_063640_f373f60b,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,False,0.8,0.6591760299625468,0.7227926078028747,176,44,91,47,10,4,
20260815_063639_3d276af6,2026-08-15-0836-acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,False,0.5884476534296029,0.6221374045801527,0.6048237476808905,163,114,99,55,2,15,
