run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260810_094101_b6e3e06a,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.4946236559139785,0.17100371747211895,0.2541436464088398,46,47,223,18,39,11,
20260810_094101_dffd86b0,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.6666666666666666,0.4868913857677903,0.5627705627705628,130,65,137,47,10,0,
20260810_094101_200fce5a,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.4895833333333333,0.5381679389312977,0.5127272727272728,141,147,121,44,13,28,
20260810_094101_2771e392,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,True,0.75,0.11152416356877323,0.19417475728155337,30,10,239,10,47,0,
20260810_094101_c689b024,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.0,0.0,0.0,0,10,269,0,57,10,
20260810_094101_1aa669da,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.44,0.08178438661710037,0.13793103448275862,22,28,247,10,47,0,
20260810_094101_0b560e73,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.625,0.14869888475836432,0.24024024024024024,40,24,229,10,47,7,
20260810_094101_6b16c651,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.44660194174757284,0.17100371747211895,0.24731182795698925,46,57,223,18,39,11,
20260810_094101_7e9d5a53,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.0,0.0,0.0,0,0,269,0,57,0,
20260810_094101_466a908c,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.32608695652173914,0.2247191011235955,0.2660753880266075,60,124,207,25,32,26,
20260810_094101_8a1b955d,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.4307692307692308,0.20817843866171004,0.2807017543859649,56,74,213,18,39,13,
20260810_094101_bef2c9b0,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,False,0.3786407766990291,0.29545454545454547,0.33191489361702126,78,128,186,26,31,24,
20260810_094101_7d79dc0b,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,True,0.5798045602605864,0.6666666666666666,0.6202090592334494,178,129,89,47,10,4,
20260810_094101_3a0755b2,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,False,0.5770392749244713,0.7290076335877863,0.6441821247892073,191,140,71,55,2,15,
20260810_094101_6fc00576,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,True,0.3783783783783784,0.15613382899628253,0.2210526315789474,42,69,227,10,47,0,
20260810_094100_51562c4e,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,False,0.5833333333333334,0.550561797752809,0.5664739884393064,147,105,120,49,8,5,
20260810_094100_2f1ec91e,2026-08-10-acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,True,0.7161290322580646,0.4157303370786517,0.5260663507109005,111,44,156,37,20,0,
