run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260808_201652_eb885dcc,acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,class_list,False,0.6363636363636364,0.26217228464419473,0.37135278514588854,70,40,197,25,32,0,
20260808_201652_de6297e0,acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,class_list,True,0.597457627118644,0.5340909090909091,0.564,141,95,123,47,10,7,
20260808_201652_5b6a7940,acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,compact,False,0.3886792452830189,0.39015151515151514,0.389413988657845,103,162,161,36,21,27,
20260808_201652_d105f07f,acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,compact,True,0.4587628865979381,0.3371212121212121,0.38864628820960695,89,105,175,26,31,18,
20260808_201652_c4c705ba,acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,json_ld,False,0.7038461538461539,0.6931818181818182,0.6984732824427481,183,77,81,49,8,7,
20260808_201652_bef8b958,acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,json_ld,True,0.4375,0.3712121212121212,0.4016393442622951,98,126,166,26,31,28,
20260808_201652_1ed7b3bf,acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,turtle,False,0.6337579617834395,0.7595419847328244,0.6909722222222222,199,115,63,57,0,15,
20260808_201652_07799db2,acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,turtle,True,0.6875,0.625,0.6547619047619048,165,75,99,49,8,7,
20260808_201652_438c0d39,acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,class_list,False,0.6297709923664122,0.6226415094339622,0.6261859582542695,165,97,100,56,1,7,
20260808_201652_db09f182,acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,class_list,True,0.608843537414966,0.683206106870229,0.6438848920863309,179,115,83,57,0,12,
20260808_201652_2d734c11,acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,compact,False,0.4854014598540146,0.5076335877862596,0.49626865671641796,133,141,129,44,13,20,
20260808_201652_2e9bceb6,acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,compact,True,0.4738562091503268,0.5534351145038168,0.5105633802816901,145,161,117,44,13,25,
20260808_201652_9d8a0bbe,acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,json_ld,False,0.717948717948718,0.7396226415094339,0.7286245353159851,196,77,69,56,1,7,
20260808_201652_aab693d0,acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,json_ld,True,0.5257352941176471,0.5458015267175572,0.5355805243445693,143,129,119,44,13,20,
20260808_201652_df52714b,acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,turtle,True,0.6612903225806451,0.7824427480916031,0.7167832167832169,205,105,57,57,0,14,
20260808_201652_d8ba11c0,acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,class_list,False,0.5707964601769911,0.48863636363636365,0.5265306122448979,129,97,135,39,18,15,
20260808_201652_5d46f08d,acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,class_list,True,0.518796992481203,0.5227272727272727,0.5207547169811321,138,128,126,49,8,15,
20260808_201652_08a22f0f,acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,compact,False,0.32653061224489793,0.11895910780669144,0.17438692098092642,32,66,237,10,47,9,
20260808_201652_51d4aea6,acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,compact,True,0.45,0.549618320610687,0.4948453608247423,144,176,118,44,13,27,
20260808_201652_ff41240f,acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,json_ld,False,0.7169117647058824,0.7442748091603053,0.7303370786516854,195,77,67,57,0,7,
20260808_201652_c95bad14,acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,json_ld,True,0.58,0.5492424242424242,0.5642023346303501,145,105,119,39,18,17,
20260808_201652_fc64d23b,acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,turtle,False,0.7802197802197802,0.5318352059925093,0.6325167037861915,142,40,125,38,19,0,
20260808_201652_e23ca989,acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,turtle,True,0.6983471074380165,0.6401515151515151,0.6679841897233202,169,73,95,49,8,7,
20260808_201652_ff73c41a,acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.7040816326530612,0.5168539325842697,0.5961123110151187,138,58,129,47,10,5,
20260808_201652_288b1d2f,acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.7814207650273224,0.5355805243445693,0.6355555555555555,143,40,124,47,10,2,
20260808_201652_dcd52208,acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.4117647058823529,0.26022304832713755,0.31890660592255127,70,100,199,28,29,13,
20260808_201652_365c451b,acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,True,0.6785714285714286,0.1412639405204461,0.23384615384615387,38,18,231,18,39,0,
20260808_201652_041031b6,acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.6596638655462185,0.5880149812734082,0.6217821782178218,157,81,110,47,10,4,
20260808_201652_a297c926,acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,False,0.5533980582524272,0.6404494382022472,0.59375,171,138,96,47,10,4,
20260808_201652_e8a873d6,acled-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.9193548387096774,0.42379182156133827,0.5801526717557252,114,10,155,29,28,0,
20260808_201652_dbc07095,acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.8088235294117647,0.6179775280898876,0.7006369426751592,165,39,102,49,8,0,
20260808_201652_5b3e9e7c,acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.43283582089552236,0.21561338289962825,0.2878411910669975,58,76,211,18,39,11,
20260808_201652_64d889a2,acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.6494464944649446,0.6641509433962264,0.6567164179104478,176,95,89,54,3,7,
20260808_201652_661f1fe0,acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.5033333333333333,0.5763358778625954,0.5373665480427046,151,149,111,44,13,26,
20260808_201652_440444cd,acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,False,0.8229665071770335,0.6441947565543071,0.7226890756302521,172,37,95,49,8,0,
20260808_201652_8f04164c,acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,True,0.40816326530612246,0.14869888475836432,0.21798365122615804,40,58,229,10,47,11,
20260808_201652_dcd91859,acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,False,0.6568265682656826,0.6666666666666666,0.6617100371747212,178,93,89,47,10,0,
20260808_201652_5453ebba,acled-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,True,0.36824324324324326,0.41603053435114506,0.3906810035842294,109,187,153,44,13,32,
20260808_201652_a0e49ff0,acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,False,0.7924528301886793,0.6292134831460674,0.7014613778705637,168,44,99,47,10,0,
20260808_201652_60afae95,acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,True,0.7704918032786885,0.5280898876404494,0.6266666666666666,141,42,126,47,10,0,
20260808_201652_90665faa,acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,False,0.8548387096774194,0.5955056179775281,0.7019867549668873,159,27,108,47,10,0,
20260808_201652_af9215bf,acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,True,0.5347593582887701,0.37453183520599254,0.4405286343612335,100,87,167,36,21,15,
20260808_201652_f398bf24,acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,False,0.5555555555555556,0.18587360594795538,0.2785515320334262,50,40,219,10,47,0,
20260808_201652_06af8b8c,acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,True,0.6307692307692307,0.3048327137546468,0.4110275689223058,82,48,187,21,36,0,
20260808_201652_3a9770cc,acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,False,0.6666666666666666,0.14869888475836432,0.24316109422492402,40,20,229,10,47,0,
20260808_201652_9375e51f,acled-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,True,0.5131964809384164,0.6554307116104869,0.5756578947368421,175,166,92,47,10,0,
20260808_201652_30252e72,acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,class_list,False,0.625,0.7251908396946565,0.6713780918727915,190,114,72,55,2,14,
20260808_201652_50638317,acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,class_list,True,0.562992125984252,0.539622641509434,0.5510597302504817,143,111,122,43,14,20,
20260808_201652_83772d21,acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,compact,False,0.6111111111111112,0.539622641509434,0.5731462925851702,143,91,122,43,14,13,
20260808_201652_2c8e2b0e,acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,compact,True,0.5725806451612904,0.5419847328244275,0.5568627450980392,142,106,120,44,13,18,
20260808_201652_3a61ef11,acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,json_ld,False,0.6840277777777778,0.7519083969465649,0.7163636363636363,197,91,65,57,0,15,
20260808_201652_5eb46158,acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,json_ld,True,0.4249084249084249,0.4393939393939394,0.43202979515828677,116,157,148,36,21,28,
20260808_201652_655268d8,acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,turtle,False,0.5666666666666667,0.7137404580152672,0.6317567567567567,187,143,75,57,0,26,
20260808_201652_967c9c7b,acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,turtle,True,0.5759717314487632,0.6221374045801527,0.5981651376146789,163,120,99,44,13,20,
20260808_201652_f7f0b459,acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,class_list,False,0.8377192982456141,0.720754716981132,0.7748478701825557,191,37,74,54,3,0,
20260808_201652_4d9578b2,acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,class_list,True,0.7294685990338164,0.5655430711610487,0.6371308016877638,151,56,116,47,10,0,
20260808_201652_0121601e,acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,compact,False,0.4176470588235294,0.5419847328244275,0.47176079734219273,142,198,120,44,13,39,
20260808_201652_d7325793,acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,compact,True,0.45896656534954405,0.5763358778625954,0.5109983079526226,151,178,111,44,13,33,
20260808_201652_f3d0f557,acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,json_ld,False,0.49363057324840764,0.5916030534351145,0.5381944444444444,155,159,107,44,13,30,
20260808_201652_95a99c54,acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,json_ld,True,0.5286885245901639,0.49236641221374045,0.5098814229249012,129,115,133,34,23,18,
20260808_201652_16a219d5,acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,turtle,False,0.5740740740740741,0.7099236641221374,0.6348122866894197,186,138,76,57,0,22,
