run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260813_192710_744e5f86,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.29739776951672864,0.42328042328042326,0.3493449781659388,80,189,109,30,20,60,
20260813_192710_87fc160e,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.9523809523809523,0.10582010582010581,0.19047619047619047,20,1,169,10,40,1,
20260813_192710_d691b3ca,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260813_192710_d2abd677,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.0,0.0,0.0,0,10,189,0,50,10,
20260813_192710_d5455dbc,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,False,0.5092936802973977,0.7248677248677249,0.5982532751091703,137,132,52,49,1,41,
20260813_192710_7f92b85d,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.5502008032128514,0.7248677248677249,0.6255707762557078,137,112,52,49,1,31,
20260813_192710_f5150fec,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.07272727272727272,0.042328042328042326,0.05351170568561873,8,102,181,3,47,12,
20260813_192710_04e413e8,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.43478260869565216,0.47619047619047616,0.4545454545454545,90,117,99,40,10,29,
20260813_192710_49a84910,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.39776951672862454,0.5661375661375662,0.46724890829694327,107,162,82,39,11,41,
20260813_192710_0e6d6def,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260813_192710_72bac817,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,False,0.5109170305676856,0.6190476190476191,0.5598086124401914,117,112,72,39,11,31,
20260813_192710_53351210,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,True,0.5598086124401914,0.6190476190476191,0.5879396984924624,117,92,72,39,11,21,
20260813_192710_e8167180,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,False,0.4476987447698745,0.5661375661375662,0.5,107,132,82,39,11,41,
20260813_192710_622fe699,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,True,0.7248677248677249,0.7248677248677249,0.7248677248677248,137,52,52,49,1,11,
20260813_192710_c3a12524,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,False,0.43010752688172044,0.6349206349206349,0.5128205128205128,120,159,69,40,10,50,
20260813_192710_21c64c11,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,True,0.5325443786982249,0.47619047619047616,0.5027932960893855,90,79,99,30,20,20,
20260813_192710_c01659aa,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,False,0.16666666666666666,0.09523809523809523,0.12121212121212123,18,90,171,9,41,11,
20260813_192710_ea1b47c0,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,True,0.46987951807228917,0.6190476190476191,0.5342465753424658,117,132,72,49,1,31,
20260813_192710_b58ef6e0,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,False,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260813_192710_c8f1a72e,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,True,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260813_192710_b7766eee,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,False,0.9591836734693877,0.24867724867724866,0.39495798319327735,47,2,142,19,31,1,
20260813_192710_3d354f60,2026-08-13-2126-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,True,0.502283105022831,0.582010582010582,0.5392156862745098,110,109,79,40,10,30,
20260813_192710_a0e8aad4,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,class_list,False,0.0,0.0,0.0,0,19,189,0,50,10,
20260813_192710_a0ee11ac,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,class_list,True,0.0,0.0,0.0,0,19,189,0,50,10,
20260813_192710_ef4f1bd1,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,compact,False,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260813_192710_12238a7a,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,json_ld,False,0.0,0.0,0.0,0,19,189,0,50,10,
20260813_192710_48755ee3,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,json_ld,True,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260813_192710_dbb1e170,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,turtle,False,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260813_192710_581bb62c,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,turtle,True,0.0,0.0,0.0,0,19,189,0,50,10,
20260813_192710_90074338,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,class_list,False,0.0,0.0,0.0,0,29,189,0,50,10,
20260813_192710_c87823a2,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,class_list,True,0.0,0.0,0.0,0,20,189,0,50,10,
20260813_192710_4060c025,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,compact,False,0.0,0.0,0.0,0,29,189,0,50,10,
20260813_192710_ea896b08,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,compact,True,0.0,0.0,0.0,0,20,189,0,50,10,
20260813_192710_37c23dc1,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,json_ld,False,0.22784810126582278,0.09523809523809523,0.1343283582089552,18,61,171,9,41,1,
20260813_192710_46839c82,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,json_ld,True,0.0,0.0,0.0,0,20,189,0,50,10,
20260813_192710_ca58b92d,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,turtle,False,0.4697986577181208,0.37037037037037035,0.41420118343195267,70,79,119,30,20,30,
20260813_192710_c83dbe03,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,turtle,True,0.6440677966101694,0.20105820105820105,0.3064516129032258,38,21,151,19,31,1,
20260813_192710_6653fa77,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,class_list,False,0.0,0.0,0.0,0,20,189,0,50,10,
20260813_192710_7c46ddaa,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,class_list,True,0.3389830508474576,0.10582010582010581,0.16129032258064516,20,39,169,10,40,10,
20260813_192710_38a1138c,2026-08-13-2126-adsb-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,compact,False,0.6206896551724138,0.09523809523809523,0.16513761467889906,18,11,171,9,41,1,
