run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260814_184948_ed6cb436,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.3716216216216216,0.582010582010582,0.45360824742268036,110,186,79,40,10,59,
20260814_184948_3e559e73,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.0,0.0,0.0,0,10,189,0,50,10,
20260814_184948_3cbe0d85,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.40585774058577406,0.5132275132275133,0.4532710280373832,97,142,92,39,11,41,
20260814_184948_c12bd929,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.9591836734693877,0.24867724867724866,0.39495798319327735,47,2,142,19,31,1,
20260814_184948_4f3142a7,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.5660377358490566,0.47619047619047616,0.5172413793103449,90,69,99,30,20,20,
20260814_184948_c633f949,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.5502008032128514,0.7248677248677249,0.6255707762557078,137,112,52,49,1,31,
20260814_184948_52d53a24,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.0,0.0,0.0,0,33,189,0,50,17,
20260814_184948_766a438f,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.45454545454545453,0.5291005291005291,0.4889975550122249,100,120,89,40,10,30,
20260814_184948_0239c56d,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.5313807531380753,0.671957671957672,0.5934579439252337,127,112,62,49,1,21,
20260814_184948_b14fbd36,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.4672489082969432,0.5661375661375662,0.5119617224880383,107,122,82,39,11,31,
20260814_184948_d58bec6e,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,True,0.6190476190476191,0.6190476190476191,0.6190476190476191,117,72,72,39,11,21,
20260814_184948_95eb81cd,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,False,0.5342465753424658,0.6190476190476191,0.573529411764706,117,102,72,39,11,31,
20260814_184948_98a32a47,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,True,0.6190476190476191,0.6190476190476191,0.6190476190476191,117,72,72,39,11,21,
20260814_184948_045ebab4,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,False,0.29739776951672864,0.42328042328042326,0.3493449781659388,80,189,109,30,20,60,
20260814_184948_7a97ba79,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,True,0.0,0.0,0.0,0,52,189,0,50,26,
20260814_184948_854a187c,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,False,0.4349442379182156,0.6190476190476191,0.5109170305676857,117,152,72,49,1,41,
20260814_184948_bc10e534,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,True,0.0,0.0,0.0,0,10,189,0,50,10,
20260814_184948_15954085,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,False,0.9473684210526315,0.09523809523809523,0.17307692307692307,18,1,171,9,41,1,
20260814_184948_c20952bf,2026-08-14-2049-adsb-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,True,0.6555023923444976,0.7248677248677249,0.6884422110552764,137,72,52,49,1,21,
